,Cases,Alpha3
Afghanistan,36.33562191780822,AFG
Albania,938.7389109589042,ALB
Algeria,37.2036794520548,DZA
American Samoa,1789.434826027397,ASM
Andorra,4797.977715068493,AND
Angola,23.729557534246577,AGO
Anguilla,2350.949605479452,AIA
Antigua and Barbuda,915.4089150684932,ATG
Argentina,1743.3450356164383,ARG
Armenia,996.3130479452055,ARM
Aruba,3472.6340547945206,ABW
Australia,3906.984206849315,AUS
Austria,5725.189749315068,AUT
Azerbaijan,572.8554150684932,AZE
Bahrain,3943.84835890411,BHR
Bangladesh,85.71929863013698,BGD
Barbados,3580.984147945205,BRB
Belarus,817.5384479452056,BLR
Belgium,3327.1393191780826,BEL
Belize,1406.0825761316871,BLZ
Benin,17.80604383561644,BEN
Bermuda,2689.5459082191783,BMU
Bhutan,759.5322739726029,BTN
Bolivia,780.0592438356165,BOL
Bosnia and Herzegovina,868.0542616438356,BIH
Botswana,1145.9399342465754,BWA
Brazil,1280.7167808219178,BRA
Bulgaria,1534.1559698630138,BGR
Burkina Faso,6.766743835616438,BFA
Burundi,38.13102328767123,BDI
Cambodia,78.9933698630137,KHM
Cameroon,33.6088205479452,CMR
Canada,984.9009835616438,CAN
Chad,3.082265753424658,TCD
Chile,2158.131780821918,CHL
China,419.29818493150685,CHN
Colombia,885.4615328767123,COL
Costa Rica,1849.9566356164385,CRI
Cote d'Ivoire,22.453527397260274,CIV
Croatia,2523.594604109589,HRV
Cuba,941.6787506849315,CUB
Cyprus,6524.608105479452,CYP
Czechia,3578.407498630137,CZE
Denmark,5275.652371232877,DNK
Djibouti,84.62627671232877,DJI
Dominica,2064.5661219178082,DMA
Ecuador,443.28054383561647,ECU
Egypt,33.35155616438356,EGY
El Salvador,238.45943698630137,SLV
Equatorial Guinea,68.55041289437585,GNQ
Eritrea,24.10618493150685,ERI
Estonia,4080.2200315068494,EST
Eswatini,526.3315630136987,SWZ
Ethiopia,29.18505890410959,ETH
Fiji,708.073991780822,FJI
Finland,2455.155912328767,FIN
France,5293.352532876712,FRA
French Guiana,2679.874794520548,GUF
French Polynesia,1924.280702739726,PYF
Gabon,158.58551643835617,GAB
Georgia,4075.1253835616435,GEO
Germany,4097.1085958904105,DEU
Ghana,33.382265753424655,GHA
Gibraltar,5531.224957534247,GIB
Greece,4510.320223287671,GRC
Greenland,2027.8308630136987,GRL
Grenada,1494.2610191780823,GRD
Guadeloupe,4637.151121917808,GLP
Guam,2392.5852273972605,GUM
Guatemala,570.2772232876713,GTM
Guernsey,5072.207143835616,GGY
Guinea,17.002179452054794,GIN
Guinea-Bissau,29.60164794520548,GNB
Guyana,779.9015246575343,GUY
Haiti,19.96033698630137,HTI
Honduras,317.7626739726027,HND
Hungary,1798.160798630137,HUN
Iceland,5181.317327397261,ISL
India,233.66798219178082,IND
Indonesia,209.4123794520548,IDN
Iraq,404.4520410958904,IRQ
Ireland,3066.3228972602737,IRL
Isle of Man,4268.704738356164,IMN
Israel,4429.744575342465,ISR
Italy,3743.8642520547946,ITA
Jamaica,475.7036219178083,JAM
Japan,2170.382705479452,JPN
Jersey,5439.578719178082,JEY
Jordan,1244.3248698630136,JOR
Kazakhstan,641.0701602739726,KAZ
Kenya,43.85826712328767,KEN
Kiribati,250.6184493150685,KIR
Kuwait,1154.4608273972603,KWT
Kyrgyzstan,127.92146164383561,KGZ
Laos,277.12216575342467,LAO
Latvia,4848.417836986301,LVA
Lebanon,1845.1298561643835,LBN
Lesotho,133.06078219178082,LSO
Liberia,11.27034109589041,LBR
Libya,577.9271219178082,LBY
Liechtenstein,4694.361012328767,LIE
Lithuania,4034.966935616438,LTU
Luxembourg,4839.708436986301,LUX
Madagascar,16.205608219178085,MDG
Malawi,38.56779423868313,MWI
Malaysia,1390.9120547945206,MYS
Maldives,3150.173920547945,MDV
Mali,11.166830136986302,MLI
Malta,1866.3491493150684,MLT
Martinique,5777.845152054795,MTQ
Mauritania,101.05439726027399,MRT
Mauritius,2144.9698479452054,MUS
Mayotte,1092.2056419753087,MYT
Mexico,436.9975835616438,MEX
Monaco,4154.899526027398,MCO
Mongolia,2839.2599479452056,MNG
Montenegro,3203.861004109589,MNE
Montserrat,3020.3414835616436,MSR
Morocco,216.33176712328768,MAR
Mozambique,61.951239726027396,MOZ
Myanmar,90.90766849315068,MMR
Namibia,557.6005,NAM
Nauru,3491.5261931506852,NRU
Nepal,233.55936027397263,NPL
New Caledonia,2616.6666,NCL
New Zealand,3747.007176712329,NZL
Nicaragua,14.61047808219178,NIC
Nigeria,8.093260273972602,NGA
Niue,1645.660195890411,NIU
Norway,2520.0538753424657,NOR
Oman,568.6437904109589,OMN
Pakistan,45.1520301369863,PAK
Palau,3164.5321342465754,PLW
Panama,1746.4460739726028,PAN
Papua New Guinea,43.41154931506849,PNG
Paraguay,876.4986534246575,PRY
Peru,967.814790410959,PER
Pitcairn,816.088604109589,PCN
Poland,1232.0858671232877,POL
Portugal,4835.060654794521,PRT
Puerto Rico,3094.2835794520547,PRI
Qatar,1228.841098630137,QAT
Romania,1316.3052479452056,ROU
Russia,1243.8580232876711,RUS
Rwanda,87.19216575342466,RWA
Saint Kitts and Nevis,1313.6389191780822,KNA
Saint Lucia,1569.9977219178083,LCA
Saint Martin (French part),3377.0378657534247,MAF
Saint Pierre and Miquelon,5430.104430136987,SPM
Saint Vincent and the Grenadines,868.4535095890411,VCT
Samoa,701.4888808219179,WSM
San Marino,5907.203894520549,SMR
Sao Tome and Principe,222.046298630137,STP
Saudi Arabia,122.48031369863014,SAU
Senegal,39.106423287671234,SEN
Serbia,2964.022978082192,SRB
Seychelles,4488.332768493151,SYC
Sierra Leone,5.822938356164383,SLE
Singapore,3632.4992547945203,SGP
Sint Maarten (Dutch part),2091.682104109589,SXM
Slovakia,2881.389009589041,SVK
Slovenia,5373.854920547946,SVN
Solomon Islands,285.89501643835615,SLB
Somalia,12.32475205479452,SOM
South Africa,492.6089698630137,ZAF
South Korea,5293.508112328767,KOR
South Sudan,13.12841780821918,SSD
Spain,2390.1351397260273,ESP
Sri Lanka,277.5324863013699,LKA
Suriname,1176.3742561643835,SUR
Sweden,2058.377987671233,SWE
Switzerland,4329.714350684932,CHE
Tajikistan,4.163345205479453,TJK
Thailand,630.7389643835617,THA
Togo,38.829268493150686,TGO
Tokelau,25.3276301369863,TKL
Tonga,1472.6280493150684,TON
Trinidad and Tobago,1119.9984191780823,TTO
Tunisia,791.8974301369863,TUN
Turkey,1675.101009589041,TUR
Turkmenistan,0.0,TKM
Tuvalu,2350.9435657534245,TUV
Uganda,27.767821917808217,UGA
Ukraine,1049.1846671232877,UKR
United Kingdom,3108.4341000000004,GBR
United States,2282.3241068493153,USA
Uruguay,2793.8290246575343,URY
Uzbekistan,46.32378493150684,UZB
Vanuatu,352.51919452054796,VUT
Venezuela,148.69628767123288,VEN
Vietnam,1125.3269452054794,VNM
Wallis and Futuna,2820.646710958904,WLF
Yemen,2.8031575342465755,YEM
Zambia,150.74808904109588,ZMB
Zimbabwe,145.24860136986302,ZWE
